,Series Name,Description,Frequency,Start,End
54,FR513081205.A,Property-casualty insurance companies; mutual fund and money market fund shares; asset,A,12-31-1946,12-31-2014
55,FR513081205.Q,Property-casualty insurance companies; mutual fund and money market fund shares; asset,Q,12-31-1946,06-30-2015
56,FR513092003.A,Property-casualty insurance companies; U.S. direct investment abroad; asset,A,12-31-1946,12-31-2014
57,FR513092003.Q,Property-casualty insurance companies; U.S. direct investment abroad; asset,Q,12-31-1946,06-30-2015
58,FR513164103.A,Property-casualty insurance companies; corporate equities; liability,A,12-31-1946,12-31-2014
59,FR513164103.Q,Property-casualty insurance companies; corporate equities; liability,Q,12-31-1946,06-30-2015
60,FR513176003.A,Property-casualty insurance companies; policy payables; liability,A,12-31-1946,12-31-2014
61,FR513176003.Q,Property-casualty insurance companies; policy payables; liability,Q,12-31-1946,06-30-2015
62,FR513178003.A,Property-casualty insurance companies; taxes payable (net); liability,A,12-31-1946,12-31-2014
63,FR513178003.Q,Property-casualty insurance companies; taxes payable (net); liability,Q,12-31-1946,06-30-2015
64,FR513181105.A,Property-casualty insurance companies; equity and investment fund shares excluding mutual fund shares and money market fund shares; liability (IMA),A,12-31-1946,12-31-2014
65,FR513181105.Q,Property-casualty insurance companies; equity and investment fund shares excluding mutual fund shares and money market fund shares; liability (IMA),Q,12-31-1946,06-30-2015
66,FL664022005.A,Security brokers and dealers; debt securities; asset,A,12-31-1945,12-31-2014
67,FL664022005.Q,Security brokers and dealers; debt securities; asset,Q,12-31-1945,06-30-2015
68,FL664022605.A,Security brokers and dealers; long-term debt securities; asset ,A,12-31-1945,12-31-2014
69,FL664022605.Q,Security brokers and dealers; long-term debt securities; asset ,Q,12-31-1945,06-30-2015
70,FL664041005.A,Security brokers and dealers; short-term loans including repurchase agreements; asset,A,12-31-1945,12-31-2014
71,FL664041005.Q,Security brokers and dealers; short-term loans including repurchase agreements; asset,Q,12-31-1945,06-30-2015
72,FL664090005.A,Security brokers and dealers; total financial assets ,A,12-31-1945,12-31-2014
73,FL664090005.Q,Security brokers and dealers; total financial assets ,Q,12-31-1945,06-30-2015
74,FL664123005.A,Security brokers and dealers; loans; liability,A,12-31-1945,12-31-2014
75,FL664123005.Q,Security brokers and dealers; loans; liability,Q,12-31-1945,06-30-2015
76,FL664141005.A,Security brokers and dealers; short-term loans including security repurchase agreements; liability,A,12-31-1945,12-31-2014
77,FL664141005.Q,Security brokers and dealers; short-term loans including security repurchase agreements; liability,Q,12-31-1945,06-30-2015
78,FL664190005.A,Security brokers and dealers; total liabilities ,A,12-31-1945,12-31-2014
79,FL664190005.Q,Security brokers and dealers; total liabilities ,Q,12-31-1945,06-30-2015
80,FL664194005.A,Security brokers and dealers; total liabilities and equity,A,12-31-1945,12-31-2014
81,FU105000005.Q,Nonfinancial corporate business; net lending (+) or borrowing (-) (financial account),Q,12-31-1946,06-30-2015
82,FU105000905.A,"Nonfinancial corporate business; net lending (+) or borrowing (-) (capital account), includes statistical discrepancy",A,12-31-1946,12-31-2014
83,FU105000905.Q,"Nonfinancial corporate business; net lending (+) or borrowing (-) (capital account), includes statistical discrepancy",Q,12-31-1946,06-30-2015
84,FU105000995.A,"Nonfinancial corporate business; net lending (+) or borrowing (-) (capital account), excludes statistical discrepancy",A,12-31-1946,12-31-2014
85,FU105000995.Q,"Nonfinancial corporate business; net lending (+) or borrowing (-) (capital account), excludes statistical discrepancy",Q,12-31-1946,06-30-2015
86,FU105005305.A,Nonfinancial corporate business; capital expenditures less the sum of U.S. internal funds and IVA (financing gap),A,12-31-1946,12-31-2014
87,FU105005305.Q,Nonfinancial corporate business; capital expenditures less the sum of U.S. internal funds and IVA (financing gap),Q,12-31-1946,06-30-2015
88,FU105012005.A,"Nonfinancial corporate business; gross fixed investment, residential equipment and structures",A,12-31-1946,12-31-2014
89,FU105012005.Q,"Nonfinancial corporate business; gross fixed investment, residential equipment and structures",Q,12-31-1946,06-30-2015
90,FU105012613.A,"Nonfinancial corporate business; residential structures, historical cost basis",A,12-31-1946,12-31-2014
91,FU105012613.Q,"Nonfinancial corporate business; residential structures, historical cost basis",Q,12-31-1946,06-30-2015
92,FU105012665.A,"Nonfinancial corporate business; residential structures, current cost basis",A,12-31-1946,12-31-2014
93,FU105012665.Q,"Nonfinancial corporate business; residential structures, current cost basis",Q,12-31-1946,06-30-2015
94,FR115012265.A,"Nonfinancial noncorporate business; residential equipment, current cost basis",A,12-31-1946,12-31-2014
95,FR115012265.Q,"Nonfinancial noncorporate business; residential equipment, current cost basis",Q,12-31-1946,06-30-2015
96,FR115012665.A,"Nonfinancial noncorporate business; residential structures, current cost basis",A,12-31-1946,12-31-2014
97,FR115012665.Q,"Nonfinancial noncorporate business; residential structures, current cost basis",Q,12-31-1946,06-30-2015
98,FR115013265.A,"Nonfinancial noncorporate business; nonresidential equipment, current cost basis",A,12-31-1946,12-31-2014
99,FR115013265.Q,"Nonfinancial noncorporate business; nonresidential equipment, current cost basis",Q,12-31-1946,06-30-2015
100,FR115013665.A,"Nonfinancial noncorporate business; nonresidential structures, current cost basis",A,12-31-1946,12-31-2014
101,FR115013665.Q,"Nonfinancial noncorporate business; nonresidential structures, current cost basis",Q,12-31-1946,06-30-2015
102,FR115013765.A,"Nonfinancial noncorporate business; nonresidential intellectual property products, current cost basis",A,12-31-1946,12-31-2014
103,FR115013765.Q,"Nonfinancial noncorporate business; nonresidential intellectual property products, current cost basis",Q,12-31-1946,06-30-2015
104,FR115015205.A,"Nonfinancial noncorporate business; equipment, current cost basis",A,12-31-1946,12-31-2014
105,FR115015205.Q,"Nonfinancial noncorporate business; equipment, current cost basis",Q,12-31-1946,06-30-2015
106,FR115020005.A,Nonfinancial noncorporate business; inventories ,A,12-31-1946,12-31-2014
107,FR115020005.Q,Nonfinancial noncorporate business; inventories ,Q,12-31-1946,06-30-2015
108,FL153050025.A,Households and nonprofit organizations; funded pension entitlements; asset,A,12-31-1945,12-31-2014
109,FL153050025.Q,Households and nonprofit organizations; funded pension entitlements; asset,Q,12-31-1945,06-30-2015
110,FL153052005.A,"Households and nonprofit organizations; insurance, pension and standardized guarantee schemes; asset (IMA)",A,12-31-1945,12-31-2014
111,FL153052005.Q,"Households and nonprofit organizations; insurance, pension and standardized guarantee schemes; asset (IMA)",Q,12-31-1945,06-30-2015
112,FL153052025.A,Households and nonprofit organizations; retirement entitlements; asset (IMA),A,12-31-1945,12-31-2014
113,FL153052025.Q,Households and nonprofit organizations; retirement entitlements; asset (IMA),Q,12-31-1945,06-30-2015
114,FL153052045.A,Households and nonprofit organizations; net equity in life insurance and pension funds; asset (IMA),A,12-31-1945,12-31-2014
115,FL153052045.Q,Households and nonprofit organizations; net equity in life insurance and pension funds; asset (IMA),Q,12-31-1945,06-30-2015
116,FL153052205.A,Households and nonprofit organizations; life insurance and annuity entitlements; asset (IMA),A,12-31-1945,12-31-2014
117,FL153052205.Q,Households and nonprofit organizations; life insurance and annuity entitlements; asset (IMA),Q,12-31-1945,06-30-2015
118,FL153052505.A,Households and nonprofit organizations; entitlements to non-pension benefits; asset (IMA),A,12-31-1945,12-31-2014
119,FL153052505.Q,Households and nonprofit organizations; entitlements to non-pension benefits; asset (IMA),Q,12-31-1945,06-30-2015
120,FL153061105.A,Households and nonprofit organizations; Treasury securities; asset,A,12-31-1945,12-31-2014
121,FL153061105.Q,Households and nonprofit organizations; Treasury securities; asset,Q,12-31-1945,06-30-2015
122,FA266400101.Q,Rest of the world; current taxes and transfer payments received,Q,12-31-1946,06-30-2015
123,FA266400201.A,"Rest of the world; current taxes, contributions for government social insurance, and transfer payments paid",A,12-31-1946,12-31-2014
124,FA266400201.Q,"Rest of the world; current taxes, contributions for government social insurance, and transfer payments paid",Q,12-31-1946,06-30-2015
125,FA266403101.A,Rest of the world; other current transfers received,A,12-31-1946,12-31-2014
126,FA266403101.Q,Rest of the world; other current transfers received,Q,12-31-1946,06-30-2015
127,FA266900005.A,Rest of the world; foreign outlays to U.S.,A,12-31-1946,12-31-2014
128,FA266900005.Q,Rest of the world; foreign outlays to U.S.,Q,12-31-1946,06-30-2015
129,FA266900095.A,Rest of the world; foreign outlays to U.S. (IMA),A,12-31-1946,12-31-2014
130,FA266900095.Q,Rest of the world; foreign outlays to U.S. (IMA),Q,12-31-1946,06-30-2015
131,FA266903001.A,Rest of the world; U.S. imports,A,12-31-1946,12-31-2014
132,FA266903001.Q,Rest of the world; U.S. imports,Q,12-31-1946,06-30-2015
133,FA266903005.A,Rest of the world; net U.S. exports ,A,12-31-1946,12-31-2014
134,FA266903005.Q,Rest of the world; net U.S. exports ,Q,12-31-1946,06-30-2015
135,FA266903011.A,Rest of the world; U.S. exports,A,12-31-1946,12-31-2014
136,FA266903011.Q,Rest of the world; U.S. exports,Q,12-31-1946,06-30-2015
137,FA266904001.A,Rest of the world; income payments to the U.S.,A,12-31-1946,12-31-2014
138,FA266904001.Q,Rest of the world; income payments to the U.S.,Q,12-31-1946,06-30-2015
139,FL793062005.Q,Financial business; municipal securities; asset,Q,12-31-1945,06-30-2015
140,FL793063005.A,Financial business; corporate and foreign bonds; asset,A,12-31-1945,12-31-2014
141,FL793063005.Q,Financial business; corporate and foreign bonds; asset,Q,12-31-1945,06-30-2015
142,FL793064105.A,Financial business; corporate equities; asset,A,12-31-1945,12-31-2014
143,FL793064105.Q,Financial business; corporate equities; asset,Q,12-31-1945,06-30-2015
144,FL793064205.A,Financial business; mutual fund shares; asset,A,12-31-1945,12-31-2014
145,FL793064205.Q,Financial business; mutual fund shares; asset,Q,12-31-1945,06-30-2015
146,FL793065005.A,Financial business; total mortgages; asset,A,12-31-1945,12-31-2014
147,FL793065005.Q,Financial business; total mortgages; asset,Q,12-31-1945,06-30-2015
148,FL793066005.A,Financial business; consumer credit; asset,A,12-31-1945,12-31-2014
149,FL793066005.Q,Financial business; consumer credit; asset,Q,12-31-1945,06-30-2015
150,FL793068005.A,Financial business; depository institution loans n.e.c.; asset,A,12-31-1945,12-31-2014
151,FL793068005.Q,Financial business; depository institution loans n.e.c.; asset,Q,12-31-1945,06-30-2015
152,FL793069005.A,Financial business; other loans and advances; asset,A,12-31-1945,12-31-2014
153,FL793069005.Q,Financial business; other loans and advances; asset,Q,12-31-1945,06-30-2015
154,FL793069175.A,Financial business; open market paper; asset,A,12-31-1945,12-31-2014
155,FL793069175.Q,Financial business; open market paper; asset,Q,12-31-1945,06-30-2015
156,FL313069005.A,Federal government; other loans and advances; asset,A,12-31-1945,12-31-2014
157,FL313069005.Q,Federal government; other loans and advances; asset,Q,12-31-1945,06-30-2015
158,FL313069205.A,Federal government; U.S. government loans; asset,A,12-31-1945,12-31-2014
159,FL313069205.Q,Federal government; U.S. government loans; asset,Q,12-31-1945,06-30-2015
160,FL313069223.A,Federal government; loans to finance companies (Chrysler Financial); asset,A,12-31-1945,12-31-2014
161,FL313069223.Q,Federal government; loans to finance companies (Chrysler Financial); asset,Q,12-31-1945,06-30-2015
162,FL313069403.A,Federal government; policy loans; asset,A,12-31-1945,12-31-2014
163,FL313069403.Q,Federal government; policy loans; asset,Q,12-31-1945,06-30-2015
164,FL313070000.A,Federal government; trade receivables; asset,A,12-31-1945,12-31-2014
165,FL313070000.Q,Federal government; trade receivables; asset,Q,12-31-1945,06-30-2015
166,FL313078005.A,Federal government; taxes receivable; asset,A,12-31-1945,12-31-2014
167,FL313078005.Q,Federal government; taxes receivable; asset,Q,12-31-1945,06-30-2015
168,FL313081115.A,Federal government; other equity; asset (IMA),A,12-31-1945,12-31-2014
169,FL313081115.Q,Federal government; other equity; asset (IMA),Q,12-31-1945,06-30-2015
170,FL313090005.A,Federal government; total miscellaneous assets,A,12-31-1945,12-31-2014
171,FL313090005.Q,Federal government; total miscellaneous assets,Q,12-31-1945,06-30-2015
172,FL313091105.A,Federal government; nonofficial foreign currencies; asset,A,12-31-1945,12-31-2014
173,FA864022605.A,"Money market mutual funds, mutual funds, and exchange-traded funds; long-term debt securities; asset",A,12-31-1946,12-31-2014
174,FA864022605.Q,"Money market mutual funds, mutual funds, and exchange-traded funds; long-term debt securities; asset",Q,12-31-1946,06-30-2015
175,FA864041005.A,"Money market mutual funds, mutual funds, and exchange-traded funds; short-term loans including repurchase agreements; asset",A,12-31-1946,12-31-2014
176,FA864041005.Q,"Money market mutual funds, mutual funds, and exchange-traded funds; short-term loans including repurchase agreements; asset",Q,12-31-1946,06-30-2015
177,FA864090005.A,"Money market mutual funds, mutual funds, and exchange-traded funds; total financial assets",A,12-31-1946,12-31-2014
178,FA864090005.Q,"Money market mutual funds, mutual funds, and exchange-traded funds; total financial assets",Q,12-31-1946,06-30-2015
179,FA883011105.A,All domestic sectors; monetary gold and SDRs holdings; asset,A,12-31-1946,12-31-2014
180,FA883011105.Q,All domestic sectors; monetary gold and SDRs holdings; asset,Q,12-31-1946,06-30-2015
181,FA883011203.A,All domestic sectors; monetary gold; asset,A,12-31-1946,12-31-2014
182,FA883011203.Q,All domestic sectors; monetary gold; asset,Q,12-31-1946,06-30-2015
183,FA883020205.A,All domestic sectors; currency including checkable deposits; asset (IMA),A,12-31-1946,12-31-2014
184,FA883020205.Q,All domestic sectors; currency including checkable deposits; asset (IMA),Q,12-31-1946,06-30-2015
185,FA883030205.A,All domestic sectors; other deposits including time and savings deposits; asset (IMA),A,12-31-1946,12-31-2014
186,FA883030205.Q,All domestic sectors; other deposits including time and savings deposits; asset (IMA),Q,12-31-1946,06-30-2015
187,FR263169705.A,Rest of the world; customers' liablity on acceptances outstanding to commercial banking; liability,A,12-31-1946,12-31-2014
188,FR263169705.Q,Rest of the world; customers' liablity on acceptances outstanding to commercial banking; liability,Q,12-31-1946,06-30-2015
189,FR263170003.A,Rest of the world; trade credit and advances; liability,A,12-31-1946,12-31-2014
190,FR263170003.Q,Rest of the world; trade credit and advances; liability,Q,12-31-1946,06-30-2015
191,FR263181105.A,Rest of the world; equity and investment fund shares excluding mutual fund shares and money market fund shares; liability (IMA),A,12-31-1946,12-31-2014
192,FR263181105.Q,Rest of the world; equity and investment fund shares excluding mutual fund shares and money market fund shares; liability (IMA),Q,12-31-1946,06-30-2015
193,FR263181115.A,Rest of the world; other equity; liability (IMA),A,12-31-1946,12-31-2014
194,FR263181115.Q,Rest of the world; other equity; liability (IMA),Q,12-31-1946,06-30-2015
195,FR263190005.A,Rest of the world; total miscellaneous liabilities,A,12-31-1946,12-31-2014
196,FR263190005.Q,Rest of the world; total miscellaneous liabilities,Q,12-31-1946,06-30-2015
197,FR263191005.A,"Rest of the world; U.S. private deposits, including negotiable certificates of deposit; liability",A,12-31-1946,12-31-2014
198,FR263191005.Q,"Rest of the world; U.S. private deposits, including negotiable certificates of deposit; liability",Q,12-31-1946,06-30-2015
199,FR263191103.A,Rest of the world; nonofficial U.S. currencies; liability,A,12-31-1946,12-31-2014
200,FR263191103.Q,Rest of the world; nonofficial U.S. currencies; liability,Q,12-31-1946,06-30-2015
201,FA086010005.A,U.S. national income ,A,12-31-1946,12-31-2014
202,FA086010005.Q,U.S. national income ,Q,12-31-1946,06-30-2015
203,FA086130003.A,National income; net interest and miscellaneous payments,A,12-31-1946,12-31-2014
204,FA086130003.Q,National income; net interest and miscellaneous payments,Q,12-31-1946,06-30-2015
205,FA086902005.A,Gross domestic product (GDP); sum of pieces ,A,12-31-1946,12-31-2014
206,FA086902005.Q,Gross domestic product (GDP); sum of pieces ,Q,12-31-1946,06-30-2015
207,FA086902105.A,Gross national product (GNP); sum of pieces,A,12-31-1946,12-31-2014
208,FA086902105.Q,Gross national product (GNP); sum of pieces,Q,12-31-1946,06-30-2015
209,FA086902203.A,Average of GDP and GDI,A,12-31-1946,12-31-2014
210,FA086902203.Q,Average of GDP and GDI,Q,12-31-1946,06-30-2015
211,FA087005005.A,Gross domestic product (GDP); statistical discrepancy (calculated from components),A,12-31-1946,12-31-2014
212,FA087005005.Q,Gross domestic product (GDP); statistical discrepancy (calculated from components),Q,12-31-1946,06-30-2015
213,FA087005086.A,Gross domestic product (GDP); statistical discrepancy as a percentage of GDP ,A,12-31-1946,12-31-2014
214,FA087005086.Q,Gross domestic product (GDP); statistical discrepancy as a percentage of GDP ,Q,12-31-1946,06-30-2015
215,FA087005995.A,Gross domestic product (GDP); statistical discrepancy (calculated from components) (IMA),A,12-31-1946,12-31-2014
216,FA087005995.Q,Gross domestic product (GDP); statistical discrepancy (calculated from components) (IMA),Q,12-31-1946,06-30-2015
217,FR643193085.Q,Equity real estate investment trusts; unidentified miscellaneous liabilities,Q,12-31-1946,06-30-2015
218,FR644022005.A,Real estate investment trusts; debt securities; asset,A,12-31-1946,12-31-2014
219,FR644022005.Q,Real estate investment trusts; debt securities; asset,Q,12-31-1946,06-30-2015
220,FR644022075.A,Mortgage real estate investment trusts; debt securities; asset,A,12-31-1946,12-31-2014
221,FR644022075.Q,Mortgage real estate investment trusts; debt securities; asset,Q,12-31-1946,06-30-2015
222,FR644090005.A,Real estate investment trusts; total financial assets ,A,12-31-1946,12-31-2014
223,FR644090005.Q,Real estate investment trusts; total financial assets ,Q,12-31-1946,06-30-2015
224,FR644090075.A,Mortgage real estate investment trusts; total financial assets ,A,12-31-1946,12-31-2014
225,FR644090075.Q,Mortgage real estate investment trusts; total financial assets ,Q,12-31-1946,06-30-2015
226,FR644090085.A,Equity real estate investment trusts; total financial assets ,A,12-31-1946,12-31-2014
227,FR644090085.Q,Equity real estate investment trusts; total financial assets ,Q,12-31-1946,06-30-2015
228,FR644122005.A,Real estate investment trusts; debt securities; liability ,A,12-31-1946,12-31-2014
229,FR644122005.Q,Real estate investment trusts; debt securities; liability ,Q,12-31-1946,06-30-2015
230,FR644122075.A,Mortgage real estate investment trusts; debt securities; liability ,A,12-31-1946,12-31-2014
231,FR644122075.Q,Mortgage real estate investment trusts; debt securities; liability ,Q,12-31-1946,06-30-2015
232,FR644123005.A,Real estate investment trusts; loans; liability ,A,12-31-1946,12-31-2014
233,FA474190005.Q,Credit unions; total liabilities,Q,12-31-1946,06-30-2015
234,FA475013005.A,"Credit unions; gross fixed investment, nonresidential structures, equipment, and intellectual property products",A,12-31-1946,12-31-2014
235,FA475013005.Q,"Credit unions; gross fixed investment, nonresidential structures, equipment, and intellectual property products",Q,12-31-1946,06-30-2015
236,FA476000105.A,Credit unions; gross saving,A,12-31-1946,12-31-2014
237,FA476000105.Q,Credit unions; gross saving,Q,12-31-1946,06-30-2015
238,FA477005005.A,Credit unions; sector discrepancy,A,12-31-1946,12-31-2014
239,FA477005005.Q,Credit unions; sector discrepancy,Q,12-31-1946,06-30-2015
240,FA483064105.A,Mutual funds and exchange-traded funds; corporate equities; asset,A,12-31-1946,12-31-2014
241,FA483064105.Q,Mutual funds and exchange-traded funds; corporate equities; asset,Q,12-31-1946,06-30-2015
242,FA484022005.A,Mutual funds and exchange-traded funds; debt securities; asset,A,12-31-1946,12-31-2014
243,FA484022005.Q,Mutual funds and exchange-traded funds; debt securities; asset,Q,12-31-1946,06-30-2015
244,FA484022605.A,Mutual funds and exchange-traded funds; long-term debt securities; asset,A,12-31-1946,12-31-2014
245,FA484022605.Q,Mutual funds and exchange-traded funds; long-term debt securities; asset,Q,12-31-1946,06-30-2015
246,FA484090005.A,Mutual funds and exchange-traded funds; total financial assets ,A,12-31-1946,12-31-2014
247,FA484090005.Q,Mutual funds and exchange-traded funds; total financial assets ,Q,12-31-1946,06-30-2015
248,FA494022005.A,Real estate investment trusts and closed-end funds; debt securities; asset,A,12-31-1946,12-31-2014
249,FU163062005.Q,Nonprofit organizations; municipal securities; asset,Q,12-31-1946,06-30-2015
250,FU163063005.A,Nonprofit organizations; corporate and foreign bonds; asset,A,12-31-1946,12-31-2014
251,FU163063005.Q,Nonprofit organizations; corporate and foreign bonds; asset,Q,12-31-1946,06-30-2015
252,FU163064105.A,Nonprofit organizations; corporate equities; asset,A,12-31-1946,12-31-2014
253,FU163064105.Q,Nonprofit organizations; corporate equities; asset,Q,12-31-1946,06-30-2015
254,FU163064205.A,Nonprofit organizations; mutual fund shares; asset,A,12-31-1946,12-31-2014
255,FU163064205.Q,Nonprofit organizations; mutual fund shares; asset,Q,12-31-1946,06-30-2015
256,FU163065005.A,Nonprofit organizations; total mortgages; asset,A,12-31-1946,12-31-2014
257,FU163065005.Q,Nonprofit organizations; total mortgages; asset,Q,12-31-1946,06-30-2015
258,FU163066223.A,"Nonprofit organizations; consumer credit, student loans; asset",A,12-31-1946,12-31-2014
259,FU163066223.Q,"Nonprofit organizations; consumer credit, student loans; asset",Q,12-31-1946,06-30-2015
260,FU163067005.A,Nonprofit organizations; cash accounts at brokers and dealers; asset,A,12-31-1946,12-31-2014
261,FU163067005.Q,Nonprofit organizations; cash accounts at brokers and dealers; asset,Q,12-31-1946,06-30-2015
262,FU163069103.A,Nonprofit organizations; commercial paper; asset,A,12-31-1946,12-31-2014
263,FU163069103.Q,Nonprofit organizations; commercial paper; asset,Q,12-31-1946,06-30-2015
264,FU163070005.A,Nonprofit organizations; trade receivables; asset,A,12-31-1946,12-31-2014
265,FA613194733.Q,Finance companies; net transactions due to holding companies; liability,Q,12-31-1946,06-30-2015
266,FA614023005.A,Finance companies; loans; asset,A,12-31-1946,12-31-2014
267,FA614023005.Q,Finance companies; loans; asset,Q,12-31-1946,06-30-2015
268,FA614090005.A,Finance companies; total financial assets,A,12-31-1946,12-31-2014
269,FA614090005.Q,Finance companies; total financial assets,Q,12-31-1946,06-30-2015
270,FA614122005.A,Finance companies; debt securities; liability,A,12-31-1946,12-31-2014
271,FA614122005.Q,Finance companies; debt securities; liability,Q,12-31-1946,06-30-2015
272,FA614123005.A,Finance companies; loans; liability,A,12-31-1946,12-31-2014
273,FA614123005.Q,Finance companies; loans; liability,Q,12-31-1946,06-30-2015
274,FA614190005.A,Finance companies; total liabilities ,A,12-31-1946,12-31-2014
275,FA614190005.Q,Finance companies; total liabilities ,Q,12-31-1946,06-30-2015
