Date,franc spot,franc forward,franc interest,dollar interest
2/28/98,0.683713934,0.698519139,1.19,5.64
3/31/98,0.671456389,0.687568757,1.29,5.71
4/30/98,0.665424541,0.678241997,1.6,5.74
5/31/98,0.676818951,0.690464683,1.72,5.77
6/30/98,0.669254451,0.682407534,1.96,5.75
7/31/98,0.660938533,0.672314105,2.16,5.75
8/31/98,0.668493883,0.682221313,1.94,5.71
9/30/98,0.714081691,0.726585773,1.68,5.42
10/31/98,0.747943156,0.761498629,1.39,5.06
11/30/98,0.722386766,0.735889322,1.59,5.15
12/31/98,0.735726898,0.749175907,1.55,5.09
1/31/99,0.722334585,0.736485491,1.39,5.01
2/28/99,0.700770848,0.714540907,1.34,5.05
3/31/99,0.682267858,0.69570057,1.36,5.08
4/30/99,0.667913438,0.681849175,1.07,5.05
5/31/99,0.663966536,0.677277345,1.06,5.13
6/30/99,0.650491121,0.665026269,1.2,5.37
7/31/99,0.645577792,0.658804928,1.56,5.61
8/31/99,0.663086002,0.677231478,1.6,5.86
9/30/99,0.656081879,0.670106547,1.69,5.94
10/31/99,0.670960816,0.685494927,2.21,6.09
11/30/99,0.643128175,0.657894737,2.05,6.04
12/31/99,0.631672036,0.645577792,2.01,6.11
1/31/00,0.628496009,0.644080897,2.05,6.21
2/29/00,0.611995104,0.624648635,2.52,6.33
3/31/00,0.601539942,0.612782646,2.84,6.41
4/30/00,0.601503759,0.612594952,3.13,6.54
5/31/00,0.581733566,0.59326056,3.4,6.98
6/30/00,0.608753881,0.61950192,3.56,6.97
7/31/00,0.606281072,0.616408802,3.69,6.92
8/31/00,0.58312438,0.592066311,3.72,6.84
9/30/00,0.569443654,0.578603252,3.63,6.77
10/31/00,0.564461504,0.574316563,3.58,6.73
11/30/00,0.562492969,0.571559214,3.58,6.71
12/31/00,0.592838511,0.60132291,3.44,6.4
1/31/01,0.613346418,0.62038588,3.34,5.53
2/28/01,0.599484443,0.605510142,3.41,5.2
3/31/01,0.591961167,0.597086219,3.29,4.81
4/30/01,0.583430572,0.58792404,3.18,4.48
5/31/01,0.57032052,0.573493147,3.15,4.08
6/30/01,0.560098577,0.562872903,3.14,3.83
7/31/01,0.5684402,0.569833039,3.18,3.79
8/31/01,0.59456567,0.596801146,3.06,3.57
9/30/01,0.611134877,0.611209584,2.71,3
10/31/01,0.612257393,0.613120785,2.13,2.34
11/30/01,0.605766901,0.606060606,2.01,2.11
12/31/01,0.604485281,0.606538485,1.87,1.99
1/31/02,0.598730691,0.599916012,1.78,1.93
2/28/02,0.589136326,0.589761736,1.76,2.04
3/31/02,0.597371565,0.598086124,1.85,2.24
4/30/02,0.604814322,0.6058403,1.69,2.21
5/31/02,0.629445459,0.632071298,1.41,2.1
6/30/02,0.65044881,0.651041667,1.4,2
7/31/02,0.678656261,0.680966973,1.18,1.91
8/31/02,0.668136567,0.670825787,0.85,1.76
9/30/02,0.669926978,0.67294751,0.76,1.78
10/31/02,0.669882101,0.673128702,0.78,1.74
11/30/02,0.682733666,0.685119211,0.73,1.46
12/31/02,0.694492673,0.696572862,0.7,1.42
1/31/03,0.72642743,0.729554242,0.64,1.37
2/28/03,0.734699875,0.737300007,0.59,1.34
3/31/03,0.735618655,0.739043677,0.39,1.26
4/30/03,0.725584095,0.729447808,0.36,1.28
5/31/03,0.763708569,0.767106474,0.33,1.23
6/30/03,0.757346259,0.7612088,0.3,1.08
7/31/03,0.735294118,0.738225306,0.33,1.12
8/31/03,0.724847782,0.727008361,0.34,1.2
9/30/03,0.726797006,0.728491295,0.32,1.19
10/31/03,0.756258035,0.759705234,0.3,1.2
11/30/03,0.751201923,0.754318473,0.33,1.24
12/31/03,0.790451348,0.793210121,0.35,1.24
1/31/04,0.80586671,0.808865162,0.32,1.19
2/29/04,0.803277372,0.807689201,0.3,1.19
3/31/04,0.783269366,0.786720164,0.3,1.16
4/30/04,0.770297335,0.774713356,0.4,1.28
5/31/04,0.779301746,0.783883358,0.43,1.52
6/30/04,0.799680128,0.804181745,0.63,1.81
7/31/04,0.803277372,0.808865162,0.71,1.89
8/31/04,0.792832792,0.796939751,0.69,1.94
9/30/04,0.791201836,0.796876245,0.79,2.09
10/31/04,0.810175808,0.81559416,0.79,2.23
11/30/04,0.854262771,0.859401856,0.87,2.5
12/31/04,0.871459695,0.881445571,0.84,2.71
1/31/05,0.846166864,0.858074481,0.81,2.89
2/28/05,0.839348665,0.84932903,0.82,3.05
3/31/05,0.852514919,0.863557858,0.81,3.28
4/30/05,0.836190317,0.847960655,0.8,3.38
5/31/05,0.820950661,0.832916875,0.79,3.49
6/30/05,0.78976465,0.80237503,0.77,3.61
7/31/05,0.772439364,0.785175879,0.77,3.83
8/31/05,0.791640279,0.805217811,0.81,4.02
9/30/05,0.790263948,0.804117079,0.81,4.05
10/31/05,0.776036008,0.789827028,0.92,4.35
11/30/05,0.762427569,0.776638708,1.12,4.55
12/31/05,0.766107408,0.779848709,1.2,4.67
1/31/06,0.782533845,0.796558866,1.17,4.73
2/28/06,0.76581406,0.781066937,1.24,4.92
3/31/06,0.765931373,0.780883961,1.37,5.05
4/30/06,0.779544746,0.794091956,1.44,5.2
5/31/06,0.82088327,0.836050497,1.56,5.29
6/30/06,0.811293201,0.827335153,1.63,5.49
7/31/06,0.808538163,0.82487833,1.7,5.58
8/31/06,0.812083807,0.827951648,1.78,5.48
9/30/06,0.803148341,0.81846456,1.88,5.41
10/31/06,0.793210121,0.807363152,1.95,5.39
11/30/06,0.809388911,0.822774395,2.01,5.37
12/31/06,0.827198279,0.841255153,2.12,5.35
1/31/07,0.804181745,0.816393175,2.26,5.38
2/28/07,0.80684202,0.818665575,2.32,5.39
3/31/07,0.820950661,0.833263895,2.36,5.32
4/30/07,0.826036676,0.8374508,2.44,5.35
5/31/07,0.818732602,0.830702775,2.54,5.37
6/30/07,0.810832725,0.821895291,2.7,5.39
7/31/07,0.82815735,0.838715088,2.85,5.37
8/31/07,0.831531681,0.841963459,2.86,5.38
9/30/07,0.843383655,0.853825137,2.9,5.35
10/31/07,0.851498638,0.861103935,2.89,5.05
11/30/07,0.890154887,0.899523253,2.85,4.83
12/31/07,0.877346903,0.886760663,2.84,4.82
1/31/08,0.908595312,0.913158616,2.77,3.78
2/29/08,0.917178758,0.918020747,2.77,3
3/31/08,0.988142292,0.987556785,2.87,2.68
4/30/08,0.986193294,0.987849452,2.93,2.84
5/31/08,0.956937799,0.958680855,2.89,2.86
6/30/08,0.963948332,0.965437343,2.98,3.1
7/31/08,0.972857282,0.976371802,2.94,3.12
8/31/08,0.923531585,0.924470741,2.89,3.11
9/30/08,0.901063255,0.904977376,2.91,3.34
10/31/08,0.875196919,0.880746873,3.09,3.88
11/30/08,0.839771582,0.845594453,2.16,2.66
12/31/08,0.874584572,0.879275477,1.08,2.18
1/31/09,0.886682036,0.888967908,0.71,1.62
2/28/09,0.858516484,0.862366333,0.65,1.76
3/31/09,0.865126741,0.870322019,0.58,1.83
4/30/09,0.870625109,0.87427872,0.54,1.65
5/31/09,0.903587241,0.9046499,0.54,1.36
6/30/09,0.924641701,0.927643785,0.52,1.18
7/31/09,0.926440615,0.928850084,0.49,0.98
8/31/09,0.935453695,0.937646507,0.45,0.84
9/30/09,0.961446015,0.962834585,0.41,0.68
10/31/09,0.978952521,0.980392157,0.39,0.59
11/30/09,0.987654321,0.989119683,0.36,0.52
12/31/09,0.971345313,0.973994351,0.35,0.45
1/31/10,0.966930961,0.968616815,0.34,0.4
2/28/10,0.932487878,0.934579439,0.33,0.39
3/31/10,0.937558597,0.938878978,0.33,0.41
4/30/10,0.935803856,0.937822376,0.33,0.48
5/31/10,0.882924245,0.890789239,0.28,0.66
6/30/10,0.888257239,0.890789239,0.2,0.75
7/31/10,0.949397133,0.950931913,0.22,0.72
8/31/10,0.961815908,0.963855422,0.23,0.58
9/30/10,0.999200639,0.99960016,0.24,0.48
10/31/10,1.032417923,1.034233116,0.24,0.45
11/30/10,1.015744033,1.019160212,0.24,0.45
12/31/10,1.031991744,1.035625518,0.24,0.46
1/31/11,1.043732387,1.047120419,0.24,0.46
2/28/11,1.051856527,1.054741061,0.24,0.46
3/31/11,1.088731628,1.088968747,0.25,0.46
4/30/11,1.11049417,1.113709767,0.26,0.44
5/31/11,1.143772161,1.146000458,0.25,0.41
6/30/11,1.190334484,1.191895113,0.24,0.4
7/31/11,1.215214485,1.215362178,0.24,0.41
8/31/11,1.282051282,1.287830006,0.12,0.46
9/30/11,1.146131805,1.153269519,0.05,0.52
10/31/11,1.115697869,1.119319454,0.08,0.6
11/30/11,1.100957833,1.10631707,0.09,0.68
12/31/11,1.071926251,1.078515962,0.1,0.78
1/31/12,1.064849324,1.070320026,0.11,0.8
2/29/12,1.096250822,1.099989,0.14,0.76
3/31/12,1.095050372,1.097815347,0.16,0.74
4/30/12,1.095410231,1.09805644,0.18,0.73
5/31/12,1.063942973,1.070549192,0.19,0.73
6/30/12,1.04416832,1.048987727,0.18,0.74
7/31/12,1.023017903,1.029442042,0.18,0.73
8/31/12,1.032417923,1.037452018,0.16,0.72
9/30/12,1.064282673,1.066780457,0.16,0.67
10/31/12,1.072501073,1.075500108,0.14,0.58
11/30/12,1.064622591,1.068147832,0.12,0.53
12/31/12,1.08495172,1.089087345,0.07,0.51
1/31/13,1.082368222,1.085069444,0.08,0.49
2/28/13,1.085540599,1.089205969,0.07,0.51
3/31/13,1.056635672,1.059771089,0.09,0.45
4/30/13,1.068147832,1.069061364,0.08,0.44
5/31/13,1.04558762,1.049428062,0.08,0.42
6/30/13,1.070090958,1.072616111,0.08,0.41
7/31/13,1.057529611,1.060108131,0.08,0.4
8/31/13,1.079796998,1.081431816,0.08,0.39
9/30/13,1.082251082,1.083658431,0.08,0.38
10/31/13,1.107787748,1.109754744,0.08,0.36
11/30/13,1.095170299,1.09733348,0.07,0.35
12/31/13,1.119444755,1.120322653,0.07,0.35
1/31/14,1.105950011,1.108524554,0.08,0.34
2/28/14,1.118943717,1.120197155,0.08,0.33
